layer,token,factor_a,factor_b,mean_overlap,min_overlap,max_overlap,mean_min_angle
0,beneficiary_role,beneficiary,concern,0.0424528496376399,0.0305089241719483,0.056941829829646,75.14066667559821
0,beneficiary_role,identity,beneficiary,0.042452849637639935,0.0305089241719483,0.0569418298296461,75.14066667559821
0,beneficiary_role,identity,concern,1.0,1.0,1.0,0.0
0,cls,beneficiary,concern,1.0,1.0,1.0,0.0
0,cls,identity,beneficiary,1.0,1.0,1.0,0.0
0,cls,identity,concern,1.0,1.0,1.0,0.0
0,concern_context,beneficiary,concern,1.0,1.0,1.0,0.0
0,concern_context,identity,beneficiary,1.0,1.0,1.0,0.0
0,concern_context,identity,concern,1.0,1.0,1.0,0.0
0,entity0,beneficiary,concern,1.0,1.0,1.0,0.0
0,entity0,identity,beneficiary,1.0,1.0,1.0,0.0
0,entity0,identity,concern,1.0,1.0,1.0,0.0
0,entity1,beneficiary,concern,1.0,1.0,1.0,0.0
0,entity1,identity,beneficiary,1.0,1.0,1.0,0.0
0,entity1,identity,concern,1.0,1.0,1.0,0.0
0,identity_role,beneficiary,concern,1.0,1.0,1.0,0.0
0,identity_role,identity,beneficiary,0.03446851927496267,0.0285446518638906,0.0419727834460657,76.43791100316535
0,identity_role,identity,concern,0.03446851927496267,0.0285446518638906,0.0419727834460657,76.43791100316535
0,query,beneficiary,concern,1.0,1.0,1.0,0.0
0,query,identity,beneficiary,1.0,1.0,1.0,0.0
0,query,identity,concern,1.0,1.0,1.0,0.0
1,beneficiary_role,beneficiary,concern,0.028425538835487766,0.0132458053802852,0.0511860307282539,77.01196654567595
1,beneficiary_role,identity,beneficiary,0.07039297806898896,0.0531524240682004,0.0913651880490012,68.75138685260333
1,beneficiary_role,identity,concern,0.09568119493113786,0.0223876788146412,0.2273259492946575,68.87955541129863
1,cls,beneficiary,concern,0.25790695334477237,0.1054528372283991,0.3771751078346139,48.934809001318854
1,cls,identity,beneficiary,0.6552399769768981,0.4352002368327928,0.8002815063453874,19.527985677448672
1,cls,identity,concern,0.29901594880935384,0.184722278436356,0.454326917810871,46.978666990216276
1,concern_context,beneficiary,concern,0.2796761497833055,0.199172917627045,0.3903473278363548,43.046957443030315
1,concern_context,identity,beneficiary,0.6266241648625989,0.5157006715975825,0.815390583390821,12.034043965806452
1,concern_context,identity,concern,0.2276195149932477,0.2075666860192806,0.2433773018230243,51.728811268258426
1,entity0,beneficiary,concern,0.232478828722097,0.1435568546607836,0.296374630342277,50.75045909563236
1,entity0,identity,beneficiary,0.46606815926776074,0.2327753350298424,0.6264923503238018,37.07307537598191
1,entity0,identity,concern,0.19259928275876267,0.0588628512102032,0.3533781558936374,54.88177582964772
1,entity1,beneficiary,concern,0.2694286014692399,0.1497431842555844,0.3604840678638723,49.66788176255934
1,entity1,identity,beneficiary,0.48152615691713985,0.3512609326426459,0.6017153786931811,24.056217961007643
1,entity1,identity,concern,0.2132135943625558,0.1382141916116656,0.3349465247335915,50.02291647720535
1,identity_role,beneficiary,concern,0.18921031521762055,0.1098634365699668,0.2389849105855253,55.30322725474099
1,identity_role,identity,beneficiary,0.028745427226655032,0.0073311699773442,0.0659355053604245,77.93097711741271
1,identity_role,identity,concern,0.0235439022467808,0.0069344111233133,0.0341173453353489,78.56417536035151
1,query,beneficiary,concern,0.1660478763884202,0.1408419851494297,0.2067475620126378,55.98679276862277
1,query,identity,beneficiary,0.4245354155810885,0.3643409940333503,0.504419610638043,30.762302380408467
1,query,identity,concern,0.06773972334764179,0.0309905181350204,0.1013924054163147,69.830228836458
2,beneficiary_role,beneficiary,concern,0.04208443621420121,0.0216709713519827,0.0684359195515002,74.86086556320136
2,beneficiary_role,identity,beneficiary,0.24215545045526524,0.1469153043774319,0.4150546509998829,52.290936929818365
2,beneficiary_role,identity,concern,0.1670011493241149,0.0556303090596191,0.3256798067688606,56.53174162592225
2,cls,beneficiary,concern,0.24594794698556988,0.2165047650552976,0.2998660940570712,49.35852809398977
2,cls,identity,beneficiary,0.5502612692574664,0.311447544830983,0.875956720730213,28.03466888899702
2,cls,identity,concern,0.28647212944724837,0.2121262296892285,0.4011005284410335,48.09274666150088
2,concern_context,beneficiary,concern,0.25601218687242067,0.1050803619088226,0.382915425989827,47.16336239844977
2,concern_context,identity,beneficiary,0.701032716337275,0.4531816594620861,0.8727477758928779,21.693364484350187
2,concern_context,identity,concern,0.260745564198522,0.1727786422418995,0.3497199178180716,48.6264653765269
2,entity0,beneficiary,concern,0.18623319042001393,0.0466377394063668,0.2888421628484904,59.98722911411959
2,entity0,identity,beneficiary,0.6728797601098854,0.354275100181998,0.8499346145436664,23.55937606346988
2,entity0,identity,concern,0.1490446117165989,0.0205357152575431,0.2289156606225046,59.8704347757477
2,entity1,beneficiary,concern,0.1820001742046017,0.1481746774796627,0.2390687013053394,59.02000614802771
2,entity1,identity,beneficiary,0.700662488086267,0.4992276588830074,0.8318685022059652,19.337946689287936
2,entity1,identity,concern,0.21470323689548695,0.0682796119636537,0.3481029854955966,51.867841937614834
2,identity_role,beneficiary,concern,0.23385987219675844,0.1376871798333613,0.3533091325926233,47.91802477088685
2,identity_role,identity,beneficiary,0.06844019924504913,0.0391361718933013,0.0840970981373721,71.11185439764682
2,identity_role,identity,concern,0.06554728883149183,0.0119786355819174,0.1195349222936819,70.65282138050682
2,query,beneficiary,concern,0.23599015665384473,0.1206055065113987,0.3565171609739618,49.78403335326886
2,query,identity,beneficiary,0.36672823365014323,0.3185992449318372,0.4580191382502838,36.02285221240126
2,query,identity,concern,0.15579463378890024,0.0677711562748264,0.3302145691197989,61.7392940683901
3,beneficiary_role,beneficiary,concern,0.043518751975936236,0.0189735157058725,0.0769062605891952,74.70845726257834
3,beneficiary_role,identity,beneficiary,0.23891646138021014,0.1295001343962087,0.4171518778222289,52.69064386956919
3,beneficiary_role,identity,concern,0.17102544075026474,0.055618741770695,0.3332393024707946,56.367906721589435
3,cls,beneficiary,concern,0.24443563786593217,0.2126983663533833,0.2829120600096514,49.38201155690525
3,cls,identity,beneficiary,0.5397893031748962,0.3096191290582877,0.8689986216051275,28.14085306438749
3,cls,identity,concern,0.2865454029750109,0.20836020469314,0.4025559405662162,48.16276611482258
3,concern_context,beneficiary,concern,0.2552561323738983,0.0982577182246295,0.3834028924907301,47.41742056516978
3,concern_context,identity,beneficiary,0.6934222877743172,0.464259941811932,0.8613155148138414,21.913307966579982
3,concern_context,identity,concern,0.2707511768765262,0.1826563491029765,0.3522002104318085,47.425169745596634
3,entity0,beneficiary,concern,0.1892879064027705,0.0511884011685729,0.2924275452022398,59.2101591659352
3,entity0,identity,beneficiary,0.6739566940849996,0.3602643783746624,0.8459619641756433,23.345739357044906
3,entity0,identity,concern,0.15120815905229948,0.0227786202307278,0.2286122677104231,59.43919906636952
3,entity1,beneficiary,concern,0.18429953641233546,0.1462934399254903,0.2505616427261462,58.40547786488876
3,entity1,identity,beneficiary,0.7002574884284312,0.4951248545014857,0.8326308075775104,19.468457380616588
3,entity1,identity,concern,0.21540537440306773,0.072836690603534,0.347845454251262,51.567287837908815
3,identity_role,beneficiary,concern,0.23134506661474896,0.1456757578127337,0.3556379652396458,48.205322609115306
3,identity_role,identity,beneficiary,0.07359676350552827,0.0362750598529336,0.1011953317789115,70.17930571990297
3,identity_role,identity,concern,0.06656402419648637,0.013591115147342,0.1195435879169633,70.46488326522247
3,query,beneficiary,concern,0.2348059431297005,0.121806605306881,0.3584450577965341,50.00348979938965
3,query,identity,beneficiary,0.36839953806121856,0.3179981610698718,0.4609805892501828,36.02530069976333
3,query,identity,concern,0.15941978964581818,0.0670969621436796,0.3419364341524313,61.72087511982454
