layer,token,factor_a,factor_b,seed,projection_overlap,min_angle_deg,mean_angle_deg
0,beneficiary_role,beneficiary,concern,16131.0,0.056941829829646094,71.0522771652366,77.88897244758104
0,beneficiary_role,identity,beneficiary,16131.0,0.056941829829646115,71.0522771652366,77.88897244758104
0,beneficiary_role,identity,concern,16131.0,1.0,0.0,0.0
0,cls,beneficiary,concern,16131.0,1.0,0.0,0.0
0,cls,identity,beneficiary,16131.0,1.0,0.0,0.0
0,cls,identity,concern,16131.0,1.0,0.0,0.0
0,concern_context,beneficiary,concern,16131.0,1.0,0.0,0.0
0,concern_context,identity,beneficiary,16131.0,1.0,0.0,0.0
0,concern_context,identity,concern,16131.0,1.0,0.0,0.0
0,entity0,beneficiary,concern,16131.0,1.0,0.0,0.0
0,entity0,identity,beneficiary,16131.0,1.0,0.0,0.0
0,entity0,identity,concern,16131.0,1.0,0.0,0.0
0,entity1,beneficiary,concern,16131.0,1.0,0.0,0.0
0,entity1,identity,beneficiary,16131.0,1.0,0.0,0.0
0,entity1,identity,concern,16131.0,1.0,0.0,0.0
0,identity_role,beneficiary,concern,16131.0,1.0,0.0,0.0
0,identity_role,identity,beneficiary,16131.0,0.028544651863890654,77.94761176101419,80.63900631213838
0,identity_role,identity,concern,16131.0,0.028544651863890654,77.94761176101419,80.63900631213838
0,query,beneficiary,concern,16131.0,1.0,0.0,0.0
0,query,identity,beneficiary,16131.0,1.0,0.0,0.0
0,query,identity,concern,16131.0,1.0,0.0,0.0
1,beneficiary_role,beneficiary,concern,16131.0,0.05118603072825391,72.00889169792569,78.6096434124832
1,beneficiary_role,identity,beneficiary,16131.0,0.09136518804900122,64.79551903981209,76.33247998227196
1,beneficiary_role,identity,concern,16131.0,0.022387678814641276,77.92547982411624,83.04875271140402
1,cls,beneficiary,concern,16131.0,0.10545283722839918,63.05317637194971,74.39065067829242
1,cls,identity,beneficiary,16131.0,0.43520023683279285,32.4813634668661,49.49868356983666
1,cls,identity,concern,16131.0,0.18472227843635602,57.4930952975716,65.49761303314602
1,concern_context,beneficiary,concern,16131.0,0.3903473278363548,28.58206077315544,56.48292976370172
1,concern_context,identity,beneficiary,16131.0,0.5157006715975825,5.588851638263385,41.96152192774592
1,concern_context,identity,concern,16131.0,0.2433773018230243,46.48663276673,65.00932134477397
1,entity0,beneficiary,concern,16131.0,0.29637463034227707,47.06451759953804,58.01843217409204
1,entity0,identity,beneficiary,16131.0,0.6264923503238018,35.48276574533764,37.65138209592895
1,entity0,identity,concern,16131.0,0.16555684117244746,55.14401545528809,70.65233005127021
1,entity1,beneficiary,concern,16131.0,0.3604840678638723,37.340359903210334,54.998131809932985
1,entity1,identity,beneficiary,16131.0,0.6017153786931811,16.937576500695513,37.23102834161107
1,entity1,identity,concern,16131.0,0.33494652473359154,35.95345093683735,59.50526590756671
1,identity_role,beneficiary,concern,16131.0,0.23898491058552535,47.36366305691394,64.70187906491505
1,identity_role,identity,beneficiary,16131.0,0.007331169977344244,83.32492572774561,85.69039330276408
1,identity_role,identity,concern,16131.0,0.029579950281680294,77.0632424231542,80.80373609809467
1,query,beneficiary,concern,16131.0,0.14084198514942972,60.06397595910509,69.8268933354138
1,query,identity,beneficiary,16131.0,0.36434099403335035,31.428568731653677,60.02630043690925
1,query,identity,concern,16131.0,0.030990518135020424,76.98053901758523,80.44882092054192
2,beneficiary_role,beneficiary,concern,16131.0,0.03614641773912078,76.04507596829875,79.60844262126383
2,beneficiary_role,identity,beneficiary,16131.0,0.4150546509998829,40.15688284486091,50.211681567716504
2,beneficiary_role,identity,concern,16131.0,0.11969333214386492,61.72637320821362,72.34440037227779
2,cls,beneficiary,concern,16131.0,0.2214729818443408,57.910110016667,62.13784546526722
2,cls,identity,beneficiary,16131.0,0.311447544830983,40.317837729775974,59.27894144658099
2,cls,identity,concern,16131.0,0.2461896302114831,53.91709170324073,60.7465052546336
2,concern_context,beneficiary,concern,16131.0,0.38291542598982703,30.91344021033658,55.489613036377065
2,concern_context,identity,beneficiary,16131.0,0.45318165946208616,36.21332998065678,47.92866337100402
2,concern_context,identity,concern,16131.0,0.34971991781807166,41.6739526021657,54.78800413128683
2,entity0,beneficiary,concern,16131.0,0.22321966900518467,55.443968039047505,62.38214583039491
2,entity0,identity,beneficiary,16131.0,0.354275100181998,37.2895220448568,55.6653337550176
2,entity0,identity,concern,16131.0,0.1976824592697491,51.60529792566876,67.98677134022498
2,entity1,beneficiary,concern,16131.0,0.14817467747966273,58.9534719009104,69.45883152726554
2,entity1,identity,beneficiary,16131.0,0.7708913031698286,19.06547591551803,27.713907216549106
2,entity1,identity,concern,16131.0,0.06827961196365377,72.53508617541449,75.04198608680511
2,identity_role,beneficiary,concern,16131.0,0.3533091325926233,32.84318520029047,60.6355341315265
2,identity_role,identity,beneficiary,16131.0,0.03913617189330133,74.59150287376865,79.78255274067851
2,identity_role,identity,concern,16131.0,0.11953492229368191,61.222518088627226,73.15807299561256
2,query,beneficiary,concern,16131.0,0.12060550651139876,62.84326775772593,71.19756323596901
2,query,identity,beneficiary,16131.0,0.3235663177683088,42.32303440697542,56.921209084287526
2,query,identity,concern,16131.0,0.06777115627482647,68.41536876717828,78.7923310522665
3,beneficiary_role,beneficiary,concern,16131.0,0.03467647963274109,76.84747785164915,79.61447167471354
3,beneficiary_role,identity,beneficiary,16131.0,0.4171518778222289,40.44862040408718,50.052852630872565
3,beneficiary_role,identity,concern,16131.0,0.1242182780093047,61.26381602083689,71.85404810959413
3,cls,beneficiary,concern,16131.0,0.23769648723476183,56.22289564191224,61.07821973370196
3,cls,identity,beneficiary,16131.0,0.3096191290582877,40.13928638686226,59.6932329700856
3,cls,identity,concern,16131.0,0.24872006366567667,53.67782326113706,60.58305755618345
3,concern_context,beneficiary,concern,16131.0,0.3834028924907301,30.657137640201313,55.61720839079003
3,concern_context,identity,beneficiary,16131.0,0.464259941811932,36.00539106363097,47.21747462215671
3,concern_context,identity,concern,16131.0,0.3522002104318085,40.850511976833594,54.763423110814855
3,entity0,beneficiary,concern,16131.0,0.2242477728374988,54.68153892872075,62.461966303143484
3,entity0,identity,beneficiary,16131.0,0.3602643783746624,36.8174212504763,55.2122522601465
3,entity0,identity,concern,16131.0,0.20223358921574758,51.16819247848206,67.53402474339302
3,entity1,beneficiary,concern,16131.0,0.1560435265853699,57.45097701858699,69.40040888146568
3,entity1,identity,beneficiary,16131.0,0.7730168032062975,18.96028441083735,27.56761045824608
3,entity1,identity,concern,16131.0,0.07283669060353404,71.09412229410557,74.72849635698319
3,identity_role,beneficiary,concern,16131.0,0.3556379652396458,32.529745457956274,60.66566425074298
3,identity_role,identity,beneficiary,16131.0,0.036275059852933625,75.06693745442269,80.28531014754361
3,identity_role,identity,concern,16131.0,0.1195435879169633,61.17926610928318,73.24296048855392
3,query,beneficiary,concern,16131.0,0.12180660530688103,62.45735388812838,71.25911113616914
3,query,identity,beneficiary,16131.0,0.31799816106987183,42.5210271671614,57.393320157079216
3,query,identity,concern,16131.0,0.06922597264134378,68.15604518201594,78.99497304610438
