factor,layer,token,test_mode,mean_bacc,min_bacc,max_bacc,mean_train_pairs,mean_test_pairs
beneficiary,0,designated_phase,id,0.5,0.5,0.5,652.6666666666666,658.0
beneficiary,0,designated_phase,symbol_ood,0.5,0.5,0.5,652.6666666666666,665.6666666666666
beneficiary,0,integrated_phase,id,0.5,0.5,0.5,652.6666666666666,658.0
beneficiary,0,integrated_phase,symbol_ood,0.5,0.5,0.5,652.6666666666666,665.6666666666666
beneficiary,0,role,id,0.49501486274578194,0.4880597014925373,0.49920382165605093,652.6666666666666,658.0
beneficiary,0,role,symbol_ood,0.5070825414983057,0.49548192771084343,0.525,652.6666666666666,665.6666666666666
beneficiary,1,designated_phase,id,0.8559479062307278,0.7115384615384615,0.9339171974522293,652.6666666666666,658.0
beneficiary,1,designated_phase,symbol_ood,0.8280687519015798,0.6054216867469879,0.947166921898928,652.6666666666666,665.6666666666666
beneficiary,1,integrated_phase,id,0.7272591832980727,0.49556213017751477,0.9537313432835821,652.6666666666666,658.0
beneficiary,1,integrated_phase,symbol_ood,0.7244680189092557,0.5037650602409638,0.9713235294117647,652.6666666666666,665.6666666666666
beneficiary,1,role,id,0.9862669138384511,0.9737261146496815,1.0,652.6666666666666,658.0
beneficiary,1,role,symbol_ood,0.9969878839744167,0.9946401225114854,1.0,652.6666666666666,665.6666666666666
beneficiary,2,designated_phase,id,1.0,1.0,1.0,652.6666666666666,658.0
beneficiary,2,designated_phase,symbol_ood,0.998995983935743,0.9969879518072289,1.0,652.6666666666666,665.6666666666666
beneficiary,2,integrated_phase,id,0.9975212693926817,0.9955223880597015,1.0,652.6666666666666,658.0
beneficiary,2,integrated_phase,symbol_ood,0.9706561540278762,0.9149096385542168,1.0,652.6666666666666,665.6666666666666
beneficiary,2,role,id,0.9887711125899167,0.9745222929936306,1.0,652.6666666666666,658.0
beneficiary,2,role,symbol_ood,0.9885854877938924,0.9709035222052067,1.0,652.6666666666666,665.6666666666666
concern,0,designated_phase,id,0.5,0.5,0.5,727.6666666666666,753.6666666666666
concern,0,designated_phase,symbol_ood,0.5,0.5,0.5,727.6666666666666,723.0
concern,0,integrated_phase,id,0.5,0.5,0.5,727.6666666666666,753.6666666666666
concern,0,integrated_phase,symbol_ood,0.5,0.5,0.5,727.6666666666666,723.0
concern,0,role,id,1.0,1.0,1.0,727.6666666666666,753.6666666666666
concern,0,role,symbol_ood,1.0,1.0,1.0,727.6666666666666,723.0
concern,1,designated_phase,id,0.8278668802726475,0.6694162436548223,1.0,727.6666666666666,753.6666666666666
concern,1,designated_phase,symbol_ood,0.8326319857170997,0.6662269129287599,1.0,727.6666666666666,723.0
concern,1,integrated_phase,id,0.9195374470485174,0.8709219858156028,1.0,727.6666666666666,753.6666666666666
concern,1,integrated_phase,symbol_ood,0.9182089413665865,0.8773087071240105,1.0,727.6666666666666,723.0
concern,1,role,id,1.0,1.0,1.0,727.6666666666666,753.6666666666666
concern,1,role,symbol_ood,1.0,1.0,1.0,727.6666666666666,723.0
concern,2,designated_phase,id,1.0,1.0,1.0,727.6666666666666,753.6666666666666
concern,2,designated_phase,symbol_ood,1.0,1.0,1.0,727.6666666666666,723.0
concern,2,integrated_phase,id,1.0,1.0,1.0,727.6666666666666,753.6666666666666
concern,2,integrated_phase,symbol_ood,0.9993403693931399,0.9980211081794195,1.0,727.6666666666666,723.0
concern,2,role,id,1.0,1.0,1.0,727.6666666666666,753.6666666666666
concern,2,role,symbol_ood,1.0,1.0,1.0,727.6666666666666,723.0
identity,0,designated_phase,id,0.5,0.5,0.5,614.6666666666666,603.3333333333334
identity,0,designated_phase,symbol_ood,0.5,0.5,0.5,614.6666666666666,630.6666666666666
identity,0,integrated_phase,id,0.5,0.5,0.5,614.6666666666666,603.3333333333334
identity,0,integrated_phase,symbol_ood,0.5,0.5,0.5,614.6666666666666,630.6666666666666
identity,0,role,id,0.49468503854803814,0.4693200663349917,0.5113452188006483,614.6666666666666,603.3333333333334
identity,0,role,symbol_ood,0.5027930052319703,0.47913322632423755,0.5168810289389068,614.6666666666666,630.6666666666666
identity,1,designated_phase,id,0.7236001695108106,0.4917081260364842,1.0,614.6666666666666,603.3333333333334
identity,1,designated_phase,symbol_ood,0.7312479791075904,0.5332302936630603,1.0,614.6666666666666,630.6666666666666
identity,1,integrated_phase,id,0.6042409242630563,0.4809286898839138,0.6932203389830509,614.6666666666666,603.3333333333334
identity,1,integrated_phase,symbol_ood,0.6065358598439464,0.5030911901081916,0.6897106109324759,614.6666666666666,630.6666666666666
identity,1,role,id,0.9601279664790504,0.8966101694915254,0.9991708126036485,614.6666666666666,603.3333333333334
identity,1,role,symbol_ood,0.8900885556546254,0.7942122186495177,0.971107544141252,614.6666666666666,630.6666666666666
identity,2,designated_phase,id,1.0,1.0,1.0,614.6666666666666,603.3333333333334
identity,2,designated_phase,symbol_ood,0.9994848016486347,0.9984544049459041,1.0,614.6666666666666,630.6666666666666
identity,2,integrated_phase,id,0.9619566652570125,0.8940677966101696,0.9959481361426257,614.6666666666666,603.3333333333334
identity,2,integrated_phase,symbol_ood,0.9466216185798872,0.882636655948553,0.992776886035313,614.6666666666666,630.6666666666666
identity,2,role,id,0.9790607916929924,0.9533898305084746,1.0,614.6666666666666,603.3333333333334
identity,2,role,symbol_ood,0.9343470636606958,0.8858520900321544,0.9621329211746522,614.6666666666666,630.6666666666666
